time,P,G(i),H_sun,T2m,WS10m,Int
20190717:0611,517.4,77.58,13.32,13.48,2.28,0.0

20190717:0711,322.4,53.53,22.14,13.78,2.9,0.0

20190717:0811,1852.0,234.62,31.16,14.26,3.17,0.0

20190717:0911,782.1,109.78,39.96,15.17,3.45,0.0

20190717:1011,1392.1,181.45,48.0,15.48,3.72,0.0

20190717:1111,3186.0,390.7,54.39,15.56,4.48,0.0

20190717:1211,3059.3,377.25,57.91,16.18,4.34,0.0

20190717:1311,955.9,130.64,57.5,16.15,4.62,0.0

20190717:1411,1636.3,210.48,53.29,16.31,4.28,0.0

20190717:1511,2750.8,342.59,46.48,17.05,3.52,0.0

20190717:1611,3087.7,384.28,38.23,17.88,3.31,0.0

20190717:1711,1840.7,237.41,29.34,17.62,3.45,0.0

20190717:1811,848.2,119.5,20.34,16.88,3.31,0.0

20190717:1911,109.8,25.3,11.6,16.75,3.59,0.0

20190717:2011,27.5,11.81,3.48,15.93,3.38,0.0

20190717:2111,0.0,0.0,0.0,15.24,3.31,0.0

20190717:2211,0.0,0.0,0.0,14.71,2.97,0.0

20190717:2311,0.0,0.0,0.0,14.35,2.62,0.0

20190718:0011,0.0,0.0,0.0,14.02,2.41,0.0

20190718:0111,0.0,0.0,0.0,13.44,2.48,0.0

20190718:0211,0.0,0.0,0.0,13.11,2.62,0.0

20190718:0311,0.0,0.0,0.0,12.87,2.62,0.0

20190718:0411,0.0,0.0,0.0,12.68,2.55,0.0

20190718:0511,95.3,22.77,4.89,12.5,2.55,0.0

20190718:0611,477.1,72.52,13.18,12.92,2.34,0.0

20190718:0711,838.3,116.1,22.0,13.84,3.86,0.0

20190718:0811,2969.9,368.13,31.01,14.68,4.07,0.0

20190718:0911,1731.4,220.68,39.82,15.5,4.28,0.0

20190718:1011,5207.6,635.9,47.84,16.39,4.34,0.0

20190718:1111,3559.6,437.7,54.23,16.75,4.28,0.0

20190718:1211,1113.2,149.69,57.74,16.98,4.34,0.0

20190718:1311,2440.1,305.92,57.33,17.17,4.21,0.0

20190718:1411,2076.4,263.31,53.15,17.48,4.28,0.0

20190718:1511,4042.4,497.7,46.35,17.56,3.86,0.0

20190718:1611,4074.1,502.64,38.11,17.78,3.72,0.0

20190718:1711,1917.8,246.69,29.23,17.75,3.72,0.0

20190718:1811,1158.9,163.45,20.22,17.45,3.24,0.0

20190718:1911,236.8,43.01,11.48,16.83,2.48,0.0

20190718:2011,0.0,2.53,3.34,16.17,1.86,0.0

